Sr No.,NAMC_ID,NAMC_CODE,Long_definition,Name English
1,1,AYU,-,diagnostic conditions
2,2,DIS,-,disease/disorder
3,3,A,-,derangement of d??a
4,4,AA,-,disorders due to v?ta
5,5,AAA,-,morbid state of d??a
6,6,SR11 (AAA-1),"It is characterized by impaired movements of v?ta, fullness of abdomen and aversion to factors causing of increase of v?ta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",Accumulation of Vata pattern (TM2)
7,7,SR12 (AAA-2),"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",Aggravation of vata pattern (TM2)
8,8,SR10 (AAA-2.1),It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,Vitiation of v?ta pattern (TM2)
9,8,SR10  (AAA-2.1),It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,Vitiation of v?ta pattern (TM2)
10,9,AAA-2.2,"the disorder is characterized by hikk? [hiccup], ?v?sa [breathlessness/difficult breathing], cak?ur?d?n?mupagh?ta [impairment of sense organs viz. eye], p?nasa [cold, catarrh], ardita [facial paralysis], tr?? [thirst], k?sa? [cough]",vitiated pr??av?yu
11,10,AAA-2.3,"the disorder is characterized by ka??har?dha [choking of throat/stopping or lowering voice], man?bhra??a [mental disturbance], chardi? [vomiting], ar?caka? [tastelessness], p?nasa [cold, catarrh], galaga??a? [glandular swelling in jaw, neck and throat region /goitre], jatr?rdhvar?ga [diseases of body above collar bone/diseases of head and neck]",vitiated ud?nav?yu
12,11,AAA-2.4,"the disorder is characterized by pu?stvabhra??a [decrease in virility/semen], uts?habhra??a [decrease/lack of enthusiasm/energy], balabhra??a? [diminution of physical strength], ??pha [oedema], citt?tplava [excitement], jvara? [fever], sarv??gar?ga [quadriplegia], nist?da [pricking type of pain], r?mahar?a [horripilation], a?gasuptat? [numbness of body parts], ku??ha? [skin disease], visarpa [spreading cellulitis/erysipelas], sarv??gaga r?ga [diseases affecting whole body]",vitiated vy?nav?yu
13,12,AAA-2.5,"the disorder is characterized by gulma? [palpable glandular enlargment in abdomen/abdominal lump], agnis?da? [diminution of agni (digestive power)], atis?ra [diarrhoea], ??la [colicky pain in the abdomen], graha?? [derangement of agni situated in graha??], pakv??ayajar?ga [diseases of/having origin in pakv??aya], ?m??ayajar?ga? [diseases of/having origin in ?m??aya]",vitiated sam?nav?yu
14,13,AAA-2.6,"the disorder is characterized by pakv??ay??rayar?ga? [diseases of pakv??aya], m?traprad??a? [disorders of m?tra/urinary system], ?ukraprad??a? [disorders of semen], ar?a? [haemorrhoids], gudabhra??a? [rectal prolapse]",vitiated ap?nav?yu
15,14,SR13(AAA-3),"It is characterized by abnormal movements of v?ta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.",Spreading of vata pattern (TM2)
