Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Name English,Long_definition,Reference
1,1,SID,Siddha,சித்தா,Siddha,,
2,2,DIS,Disorder,நோய்,Disorder,,
3,3,A,Vaḷarcitai Māṟṟa Nōykaḷ,வளர்சிதை மாற்ற நோய்கள்,Metabolic disorders,,
4,4,AA,Kallīral Nōy,கல்லீரல் நோய்,Hepatic disease,,
5,5,AAA,Vaḷi,வளி,Hepatic disease classified under vali humour,,
6,6,AAA1.1,Vaḷi Kallīral Nōy,வளி கல்லீரல் நோய்,"Hepatomegaly due to vali, if chronic leads to anaemia","It is characterized by fever, emaciation, blackish discoloration of the body, abdominal, engorged veins, lymph node enlargement abdomen, neck, chest and inguinal region, decreased blood volume, pallor and peripheral edema leading to fatal. It is explaine","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 338-339"
7,7,AAB,Aẕal,அழல்,Hepatic disease classified under azhal humour,,
8,8,AAB1.1,Aẕal Kallīral Nōy,அழல் கல்லீரல் நோய்,"Hepatomegaly due to azhal, if chronic leads to ascites","It is characterized by full blown icterus, bitter taste, bilious vomiting, shrunken face, peripheral oedema and pallor. It is explained by increased Aẕal influencing iyam and vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affect","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 339"
9,9,AAC,Aiyam,ஐயம்,Hepatic disease classified under iya humour,,
10,10,AAC1,Aiya Kallīral Nōy,ஐய கல்லீரல் நோய்,"Hepatomegaly due to aiyam, and nodular liver on palpation","It is characterised by massive hepatomegaly with nodules, fever,vomiting, headache, oliguria, jaundice, anasarca, pallor followed by ascites. It is explained by increased Aẕal, vali ( vyanan,samanan,abanan,udanan) influencing iyam . Among the seven Uṭaṟ","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 339"
11,11,AB,Mañcaḷ Nōy,மஞ்சள்,Jaundice,,
12,12,ABA,Vaḷi,வளி,Jaundice classified under vali humour,,
13,13,ABA1.1,Vaḷi Mañcaḷ Nōy,வளி மஞ்சள் நோய்,Jaundice caused by increased by vali,"It is characterised by dyspepsia, peripheral oedema, emaciation of the body and eyes, diminished vision malaise, loss of appetite and sleep. It is explained by increased vali (vyanan ) influencing Aẕal. Among the seven Uṭaṟtātukkaḷ,Cāram and seneer gets","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976 (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 367"
14,14,ABA1.2,Kumpa Mañcaḷ Nōy,கும்ப மஞ்சள் நோய்,Jaundice with dysentery,"It is characterised by heaviness of the body, fatigue, yellowish discoloration of urine, evening sweating, redness of the eyes, flagging like an garland, sleeps in a standing position as peacock, passes stools as in dysentery. It is explained by increased","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:371-372"
15,15,ABA1.3,,வாத கப காமாலை,Jaundice due to increased vali and aiyam,"This is characterised by dyspepsia,Pallor of eyes & tongue,dyspnoea on exertion,clubbing of fingers,cough.This can be explained by deranged vali influences iyam affects samanan,udanan,vyanan. Among the seven udal thathukkal saram to seneer is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:371-372"
16,16,ABB,Aẕal,அழல்,Jaundice classified under azhal Humour,,
17,17,ABB1.1,Aẕal Mañcaḷ Nōy,அழல் மஞ்சள் நோய்,Jaundice caused by increased azhal,"It is characterised by dryness of the skin, insomnia, dyspepsia, generalised bodyache, diarrhoea, borborygmus and weakness of extremities. It is explained by increased Aẕal influences iyam, increased vali ( abanan ,vyanan ).Among the seven Uṭaṟtātukkaḷ C","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 367"
18,18,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,அழல் ஐய மஞ்சள் நோய்,Jaundice caused by increased azhal aiyam,"It is characterised by yellowish discoloration of the body, vomiting, headache, dysentery like milk, dyspepsia, anasarca and pallor of extremities.It is explained by increased Aẕal and iyam causing increased vali( vyanan). Among the seven Uṭaṟtātukkaḷ C","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:369"
19,19,ABB1.3,Ūtu Mañcaḷ Nōy,ஊதுமஞ்சள் நோய்,Jaundice with anasarca,"It is characterised by anasarca, mucus secretion in eyes, unctuous sweating and numbness . It is explained by increased Aẕal influencing Iyam and vali (vyanan). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 365-366"
20,20,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,வறட்டு மஞ்சள் நோய்,Jaundice with gait distutbances and night blindness,"It is characterised by shortening of both upper and lower limbs, difficulty in walking, passing blue coloured faeces, dysuria, burning micturition, tasteless, dimness of vision in the evening, blackish discoloration of the body. It is explained by decreas","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 366"
21,21,ABB1.5,Peru Mañcaḷ Nōy,பெரு மஞ்சள் நோய்,Jaundice with male sterility,"It is characterised by yellowish discoloration of urine, anasarca, yellowish discoloration of face, hands, feet and uvula, weight loss, depression, dyspnoea, impotence and constipation. It can be explained by deranged Aẕal influencing vali,affects vyanan,","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 370"
22,22,ABB1.6,Aẕaku Mañcaḷ Nōy,அழகு மஞ்சள் நோய்,Jaundice with urethritis,"It is characterised by yellowish discoloration of urine, greenish hue as that of a bonduc nut of eyes and eyebrows, dysuria and dyspepsia and increased body heat.It is explained by increased Aẕal and iyam and decreased vali (vyanan,abanan). Among the s","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 370-371"
23,23,ABB1.7,Ceṅkamala Mañcaḷ Nōy,செங்கமல மஞ்சள் நோய்,Jaundice with cardiac dysfunction,"It is characterised by yellowish hue in uvula, tongue, saliva becomes yellowish hue, cardiac dysfunction, malaise, decreased and concentrated urine, pallor of nails, emaciation followed by fever, It is explained by increased Aẕal and iyam and vali (udanan","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No:371"
24,24,ABC,Aiyam,ஐயம்,Jaundice classified under aiyam humour,,
25,25,ABC1.1,Aiya Mañcaḷ Nōy,ஐய மஞ்சள் நோய்,Jaundice due to aiyam,"It is characterised by generalised icterus, continuous cough, sweating in the forehead, difficulty in walking, giddiness on intake of betelnut, dyspnoea on exertion, rigor, heaviness of the chest. It is explained by increased iyam , Aẕal followed by vali","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 370"
26,26,ABC1.2,Kuṉma Mañcaḷ Nōy,குன்ம மஞ்சள் நோய்,Jaundice with dysentery,"This is characterised by pallor of eyes, greenish hue in the eyes, yellowish discoloration of urine and broth-like consistency.Abdominal pain precedes before vomitting at the time of digestion of food. Anosmia, frequent wheeze , dyspnoea and cough, sleeps","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 372"
27,27,ABD,Mukkuṟṟam,முக்குற்றம்,,,
28,28,ABD1.1,,தொந்த காமாலை,Jaundice due to mukuttram,"This is characterised by burning sensation all over the body,malaise,frequent cough,bodyache,sour taste in the tongue, rigor,distention of lower abdomen.This can be explained by deranged mukkutram affects vyanan,udanan.Among the seven udal thathukkal sara","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine & Homeopathy, Page No: 372"
29,29,AC,Maṇṇīral Nōy,மண்ணீரல் மஞ்சள் நோய்,Spleen disease,,
30,30,ACA,Vaḷi,வளி,Spleen disease classified under vali humour,,
31,31,ACA1.1,Vaḷi Maṇṇīral Nōy,வளி மண்ணீரல் நோய்,"Spleenomegaly due to vali, if chronic leads to ascites","It is characterized by enlargement of abdomen, engorged veins over the abdomen with greenish hue, dislike to eat, bitter taste in the tongue, frequent fever, blackish discoloration of face or whole body, borborygmus, muscle wasting in extremities, constip","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 335 - 336"
32,32,ACB,Aẕal,அழல்,Spleen disease classified under azhal humour,,
33,33,ACB1.1,Aẕal Maṇṇīral Nōy,அழல் மண்ணீரல் நோய்,Spleenomegaly due to azhal with massive enlargement,"It is characterized by icterus, spleenomegaly, hypersalivation, bitter taste in the tongue, hatred towards food, bilious vomiting, diarrhoea and frequent giddiness. It is explained by increased Aẕal and vali (udanan,vyanan,abanan). Among the seven Uṭaṟtā","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 336"
34,34,ACC,Aiyam,ஐயம்,Spleen disease classified under aiyam humour,,
35,35,ACC1.1,Aiya Maṇṇīral Nōy,ஐய மண்ணீரல் நோய்,Spleenomegaly due to aiyam with intermittent fever,"It is characterized by malaise, pallor, peripheral oedema.Engorged veins and varicose veins.If chronic,intermittent fever,bedridden,emaciation ,decreased blood volume and fatal. This can be explained by deranged Iyam influences Aẕal affects vyanan,abanan","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 336"
36,36,ACD,Mukkuṟṟam,முக்குற்றம்,Spleen disease classified under mukkutram humour,,
37,37,ACD1.1,Mukkuṟṟa Maṇṇīral Nōy,முக்குற்ற மண்ணீரல் நோய்,"Spleenomegaly due to mukuttram,may be fatal","It is characterized by signs and symptoms of vali, Aẕal and iya manneeral noi, massive spleenomegaly, health deteriorates leading to sudden death. It is explained by increased vali, Aẕal and iyam . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ ,Koẕup","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No: 336"
38,38,AD,Nīr Vēṭkai Nōy,நீர் வேட்கை நோய்,Thirst disease,,
39,39,ADA,Vaḷi,வளி,Thirst disease classified under vali humour,,
40,40,ADA1.1,Vaḷi Nīr Vēṭkai Nōy,வளி நீர் வேட்கை நோய்,Severe thirst due to vali,"It is characterised by morbid thirst, blackish discoloration of the body, tasteless, deafness, increased sleepiness and decreased vigour. It is explained by increased vali ( udanan,vyanan ) and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets af","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 272"
41,41,ADB,Aẕal,அழல்,Thirst disease classified under azhal humour,,
42,42,ADB1.1,Aẕal Nīr Vēṭkai Nōy,அழல் நீர் வேட்கை நோய்,Thirst due to azhal,"It is characterised by increased body temperature, dryness of tongue, pricking pain and redness in uvula,palate.throat and tongue, burning sensation of tongue. It is explained by increased Aẕal and vali (udanan,vyanan). Among the seven Uṭaṟtātukkaḷ Cāra","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273"
43,43,ADB1.2,Iraca Nīr Vēṭkai Nōy,இரச நீர் வேட்கை நோய்,Thirst during conversion of Cāram to blood may lead to fatal,"It is characterised by increased thirst, dryness of mouth due to haemorrhage, loss of intelligence and dyspnoea. It is explained by increased Aẕal, vali (udanan) and iyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No.273"
44,44,ADC,Aiyam,ஐயம்,Thirst disease classified under aiyam humour,,
45,45,ADC1.1,Aiya Nīr Vēṭkai Nōy,ஐய நீர் வேட்கை நோய்,Thirst due to aiyam,"It is characterised by obstruction in the throat, sweet taste in the tongue, dyspepsia, anorexia and ageusia. It is explained by increased iyam and decreased Aẕal and vali ( udanan ). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273"
46,46,ADC1.2,Ceriyā Nīr Vēṭkai Nōy,செரியா நீர் வேட்கை நோய்,Thirst due to dyspepsia.,"This is characterised by thirst due to consumption of increased sweet,salt,easily indigestible food during any illness or after a long walk . This can be explained by deranged Iyam influences Aẕal affects udanan. Among the seven Uṭaṟtātukkaḷ,Cāram to s","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273"
47,47,ADD,Mukkuṟṟam,முக்குற்றம்,Thirst disease classified under mukkutram humour,,
48,48,ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy,முக்குற்ற நீர் வேட்கை நோய்,Thirst in mukkuttram conditions,"It is characterised by fever, sanni, diabetes and dyspnoea with bad prognosis. It is explained by increase of vali, Aẕal and iyam. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ , Koẕuppu, Eṉpu, Mūḷai and sukkilam gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 273"
49,49,AE,Ūtal Nōy,ஊதல் நோய்,Anasarca,,
50,50,AEA,Vaḷi,வளி,Anasarca classified under vali humour,,
51,51,AEA1.1,Vaḷi Ūtal Nōy,வளி ஊதல் நோய்,Oedema due to vali with pallor,"It is characterized by weight loss, pallor, dyspepsia, malaise, dyspnoea eeven on mild exertion, browning of hair, impaired sleeping. It is explained by increase of vali and decreased Aẕal (ranjagam). Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Ko","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 374-375"
52,52,AEB,Aẕal,அழல்,Anasarca classified under azhal humour,,
53,53,AEB1.1,Aẕal Ūtal Nōy,அழல் ஊதல் நோய்,Oedema due to azhal with icterus,"It is characterised by yellowish discoloration of eyes, eyebrow, nasal septum and hair,vomiting, dyspnoea, headache, difficulty in walking, giddiness and sweating. It is explained by increased Aẕal leading to increased iyam and vali (udanan,vyanan). Among","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 375"
54,54,AEC,Aiyam,ஐயம்,Anasarca classified under aiyam humour,,
55,55,AEC1.1,Aiya Ūtal Nōy,ஐய ஊதல் நோய்,Oedema due to aiyam with cholera like diarrhoea,"It is characterised by anasarca, generalised pruritus, pallor, fever with rigor, insomnia, continuous diarrhoea as in cholera, giddiness, panic striken on and off.It is explained by increased iyam and vali ( abanan,vyanan ). Among the seven Uṭaṟtātukkal","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 375-376"
56,56,AED,Mukkuṟṟam,முக்குற்றம்,Anasarca classified under mukkutram humour,,
57,57,AED1.1,Mukkuṟṟa Ūtal Nōy,முக்குற்ற ஊதல் நோய்,Oedema due to mukkutram and fatal,"It is characterised by anger against women, edema, fever, diarhhoea,abdominal pain,anal pain,dislike to food, pain in extremities, dyspnoea on exertion, giddiness, hypersalivation. It is explained by vali ( samanan,abanan,udanan and vyanan ), Aẕal and iy","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine & Homeopathy, Page No: 376-377"
58,58,B,Tōl Nōykaḷ,தோல் நோய்கள்,Skin Disorders,,
59,59,BA,Akki,அக்கி,Herpes zooster,,
60,60,BAA,Vaḷi,வளி,Herper zooster classified under Vali,,
61,61,BAA1.1,Akki,அக்கி,Herpes zooster,"It is characterized by fever, painful reddened rashes occurring in the course of the sensory nerves. This disease may occur in sudden seasonal changes and in immune compromised conditions. It is common in summer. It is explained by increased Aẕal followe","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.313"
62,62,BB,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Abcess in the axilla,,
63,63,BBB,Aẕal,அழல்,Abcess classified under azhal,,
64,64,BBB1.1,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Abcess in the axilla with burning,"It is characterized by axillary lymphadenitis with fever and convalesence. It is explained by increased prasaga Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ gets increased.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.74"
