Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NAMC_TERM,Name English,Long_definition
1,0,O-6,رطوبت غریزیہ,Ruṭūbat Gharīziyya,Innate humour,"The moistness of an organ which remains in equilibrium, qualitatively and quantitatively, in accordance to the temperament of that organ."
2,1,UM,,,Unani Medicine,
3,2,UM-DIS,,,Disorders,
4,3,A,امراض نظام اعصاب و دماغ,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,Diseases of Nervous System,
5,4,A-1,بيضہ و خوذہ,Bayḍa-o-Khūdha,Organic headache/Helmet headache,A severe type of chronic headache which involves the whole head. The patient feels that someone is hammering his head. Most of the physicians are of the view that both these types are same but <em>Dā’ūd Anṭākī</em> differentiates them by the site of pain as <em>Bayḍa</em> is a headache which occurs in the central part of head while <em>Khūdha</em> is a headache which is experienced on the periphery of head.
6,5,A-2,شقيقہ,Shaqīqa,Migraine,A type of severe headache which involves one half of head whether it is right or left. It is an episodic type of pain accompanied with nausea and vomiting.
7,6,A-2.1,شقيقہ حارہ,Shaqīqa Ḥārra,Acute migraine,A type of migraine which is caused by predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Dam</em> (blood/sanguine) in the body.
8,7,A-2.2,شقيقہ باردہ,Shaqīqa Bārida,Chronic migraine,A type of migraine which is caused by predominance of <em>Balgham</em> (phlegm) and <em>Sawdā’</em> (black bile) in the body.
9,8,A-3,عصابہ,‘Iṣāba,Frontal headache,It is a type of severe headache which occurs on the forehead above the eyebrow. It can involve either sides or both sides. The intensity of pain gradually reduces with the sunset.
10,9,A-4,حس دماغ,Ḥiss-i-Dimāgh,sensation of itching in brain,
11,10,A-5,سرسام,Sarsām,Meningitis,The inflammation of meninges of brain or brain itself.
12,11,A-5.1,سرسام دموي/ قرانیطس,Sarsām Damawī/ Qarānīṭus,Acute meningitis,The inflammation of meninges of brain due to predominance of <em>Dam</em> (blood/sanguine).
13,12,A-5.2,سرسام صفراوي/قرانیطس خالص,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,Bilious meningitis,The inflammation of meninges of brain due to predominance of <em>Ṣafrā’</em> (yellow bile).
14,13,A-5.3,سرسام سوداوي,Sarsām Sawdāwī,Melancholic meningitis,The inflammation of meninges of brain due to predominance of <em>Sawdā’</em> (black bile).
15,14,A-5.4,سرسام بلغمي/ لیثرغس,Sarsām Balghamī/ Lītharghus,Phlegmatic meningitis,The inflammation of meninges of brain due to predominance of <em>Balgham</em> (phlegm).
16,15,A-5.5,سرسام حقيقي,Sarsām Ḥaqīqī,inflammation of brain or its meninges,The inflammation of meninges or tissues of brain.
17,16,A-5.6,سرسام غير حقيقي,Sarsām Ghayr Ḥaqīqī,Meningismus,"In this condition, symptom of <em>Sarsām</em> (meningitis) occurs without any inflammatory changes in the brain. This is caused by other reason e.g. accumulation of <em>Bukhārāt</em> (gases) in the brain."
18,17,A-6,فلغمونى دماغي,Falghamūnī Dimāghī,Phlegmon,A type of acute inflammation of brain tissues caused by accumulation of putrified blood in the brain.
19,18,A-7,شفا قلوس دماغي,Shafāqalūs Dimāghī,inflammation of vessels of brain,A type of inflammation of the vessels of brain caused by the accumulation of <em>Muḥtariq Dam</em> (burnt blood/sanguine) in the vessels.
20,19,A-8,حمرہ دماغيہ,Ḥumra Dimāghiyya,Cerebral congestion,A type of inflammation of brain tissues caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or sanguine mixed with <em>Ṣafrā’</em> (yellow bile) in the brain.
21,20,A-9,عطاش,‘Uṭāsh,sub acute inflammation of brain,"Literal meaning of <em> ‘Uṭāsh</em> is excessive thirst. It is a disease which occurs commonly in children. In Unani System of Medicine, it is considered to be a sub acute type of inflammation of brain in which the child experiences an increased thirst."
22,21,A-10,ماشریٰ,Māshrā,Erysipelas,<em>Māshrā</em> is a <em>Suryānī</em> word which literally means acute inflammation of any part of body due to predominance of <em>Dam</em> (blood/sanguine) and <em>Ṣafrā’</em> (yellow bile). Ancient Unani physicians have used this word for the inflammation of face and forehead. <em>Ibn Sīnā</em> had included this term for the acute inflammation of liver which is caused exclusively by the predominance of <em>Ṣafrā’</em> (yellow bile). But most recent Unani physicians describe this as an acute inflammation of face and forehead in which the face becomes red and swollen accompanied with pain and itching.
23,22,A-11,ماء الراس,Mā’ al-Ra’s,Hydrocephalus,"Accumulation of fluid in the head. This can be of two types, either the accumulation is beneath the scalp or inside the head. If it occurs inside the head, the patient experiences heaviness of head, eyes remain open with continuous lacrimation and this is usually a fatal condition. When the fluid is accumulated beneath the scalp due to bad obstetric procedure, it is usually curable and subsides gradually (caput succeedenum)."
24,23,A-12,سبات,Subāt,Coma,A prolonged phase of deep unconsciousness.
25,24,A-12.1,سبات سهرى,Subāt Sahrī,Coma vigil,A type of deep sleep with phases of consciousness in between. This type of unconsciousness is due to the predominance of <em>Balgham</em> (phlegm). According to <em>Qarshī</em> and most Unani physicians this is a type of inflammation of brain which is due to predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Balgham</em> (phlegm).
26,25,A-12.2,سبات بارد,Subāt Bārid,coma due to coldness of brain,A type of coma or unconsciousness which is caused either by the exposure of cold environment or by the intake of narcotic drugs.
27,26,A-12.3,سبات رطوبى,Subāt Ruṭūbī,coma due to moistness of brain,A type of coma which is caused by the predominance of <em>Ruṭūbat</em> (moistness) in the body which in turn causes hindrance in the process of oxygenation.
28,27,A-12.4,سبات دموي,Subāt Damawī,Sanguineous coma,A type of coma which is caused by the predominance of <em>Dam</em> (blood/sanguine) in the body.
29,28,A-12.5,سبات بخارى,Subāt Bukhārī,Coma due to vapours,"A type of coma which is caused by the gases produced by bad humours of stomach, lungs, intestine and uterus."
30,29,A-12.6,سبات ضعفي,Subāt Ḍu‘fī,coma due to weakness of brain,A type of coma which is caused by the weakness of brain and nerves.
31,30,A-12.7,سبات ضربى,Subāt Ḍarbī,Traumatic coma,A type of coma due to injury of head and brain especially of temporal region.
32,31,A-13,سهر,Sahar,Insomnia,A disease in which the patient remains in wakeful state all the time.
33,32,A-13.1,سهر يابس,Sahar Yābis,Insomnia due to dryness,A state of wakefulness which is caused by the predominance of <em>Yubūsat</em> (dryness) either in terms of <em>Mādda</em> or matter i.e. <em>Sawdā’</em> (black bile) and <em>Ṣafrā’</em> (yellow bile) or simple.
34,33,A-13.2,سهر رطوبى,Sahar Ruṭūbī,Insomnia due to moistness,A state of wakefulness which is due to accumulation of <em>Ruṭūbat</em> (moistness) in the brain.
35,34,A-14,نسيان,Nisyān,Amnesia,A state of forgetfulness.
36,35,A-14.1,نسيان باردرطب,Nisyān Bārid Raṭb,forgetfulness due to coldness and moistness/ Reterograde Amnesia,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or Ruṭūbat (moistness) which is either simple or compound.
37,36,A-14.2,نسيان بارد يابس,Nisyān Bārid Yābis,forgetfulness due to coldness and dryness/Anterograde Amnesia,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or <em>Yubūsat</em> (dryness).
38,37,A-14.3,نسيان حار يابس,Nisyān Ḥārr Yābis,forgetfulness due to heat and dryness,A state of forgetfulness which is caused by the predominance of <em>Yubūsat</em> (dryness) in the brain tissues. This state is incurable if there is a decrease in tissue of brain.
39,38,A-15,اختلاط الذهن,Ikhtlāṭ al-Dhahn,mental derangement,A confused state of mind not reaching the level of <em>Junūn</em>. This is also a type of melancholia.
40,39,A-16,هذيان,Hadhayān,Delirium,A state of stupor in which the patient talks continuously and irrelevantly.
